GTFS Stop ID,Stop Name
G12,Grand Av-Newtown
122,79 St
N06,20 Av
H08,Beach 44 St
117,116 St-Columbia University
G36,Fulton St
F15,Delancey St-Essex St
708,90 St-Elmhurst Av
R11,Lexington Av/59 St
F33,Avenue N
B14,50 St
405,Bedford Park Blvd-Lehman College
L05,3 Av
225,125 St
G18,46 St
J19,Cypress Hills
H13,Beach 98 St
406,Kingsbridge Rd
D12,155 St
608,Parkchester
M19,Bowery
231,Clark St
112,168 St-Washington Hts
F07,75 Av
254,Junius St
R33,4 Av-9 St
R45,Bay Ridge-95 St
A24,59 St-Columbus Circle
621,125 St
107,215 St
N02,8 Av
211,Pelham Pkwy
A61,Rockaway Blvd
636,Astor Pl
216,Freeman St
F11,Lexington Av/53 St
R26,Rector St
L29,Canarsie-Rockaway Pkwy
A31,14 St
R40,53 St
J28,Chauncey St
724,5 Av
D19,14 St
S22,New Dorp
F38,Avenue X
H02,Aqueduct-N Conduit Av
602,Buhre Av
B19,18 Av
222,149 St-Grand Concourse
M12,Flushing Av
139,Rector St
718,Queensboro Plaza
S13,Richmond Valley
712,61 St-Woodside
134,Houston St
G29,Metropolitan Av
B10,57 St
127,Times Sq-42 St
A19,96 St
632,33 St
R15,49 St
A55,Euclid Av
413,167 St
D39,Sheepshead Bay
244,Church Av
A34,Canal St
A02,Inwood-207 St
207,219 St
M05,Forest Av
138,WTC Cortlandt
726,34 St-Hudson Yards
F03,Parsons Blvd
S18,Eltingville
L14,Morgan Av
D15,47-50 Sts-Rockefeller Ctr
236,Bergen St
N09,Avenue U
A63,104 St
S30,Tompkinsville
S17,Annadale
D04,Kingsbridge Rd
M11,Myrtle Av
622,116 St
713,52 St
A40,High St
R19,23 St
L20,Wilson Av
D26,Prospect Park
613,Hunts Point Av
L26,Livonia Av
N05,18 Av
L19,Halsey St
248,Nostrand Av
F21,Carroll St
M22,Fulton St
F29,Ditmas Av
R04,30 Av
G13,Elmhurst Av
601,Pelham Bay Park
H07,Beach 60 St
121,86 St
627,77 St
108,207 St
418,Fulton St
212,Bronx Park East
217,Simpson St
A32,W 4 St-Wash Sq
R39,45 St
R41,59 St
A11,155 St
G11,Woodhaven Blvd
D30,Cortelyou Rd
A25,50 St
G06,Sutphin Blvd-Archer Av-JFK Airport
B18,79 St
A47,Kingston-Throop Avs
106,Marble Hill-225 St
R23,Canal St
503,Gun Hill Rd
A12,145 St
617,Cypress Av
A43,Lafayette Av
210,Allerton Av
A60,88 St
631,Grand Central-42 St
R27,Whitehall St-South Ferry
D29,Beverley Rd
G30,Broadway
G35,Clinton-Washington Avs
B13,Fort Hamilton Pkwy
L06,1 Av
G22,Court Sq
H06,Beach 67 St
F06,Kew Gardens-Union Tpke
R32,Union St
419,Wall St
N03,Fort Hamilton Pkwy
416,138 St-Grand Concourse
R18,28 St
504,Pelham Pkwy
407,Fordham Rd
D40,Brighton Beach
123,72 St
A06,181 St
D34,Avenue M
723,Grand Central-42 St
232,Borough Hall
F20,Bergen St
A48,Utica Av
255,Pennsylvania Av
J20,Crescent St
A22,72 St
A54,Shepherd Av
635,14 St-Union Sq
A38,Fulton St
M10,Central Av
D11,161 St-Yankee Stadium
F09,Court Sq-23 St
206,225 St
J14,104 St
619,3 Av-138 St
D21,Broadway-Lafayette St
603,Middletown Rd
707,Junction Blvd
N08,Kings Hwy
R13,5 Av/59 St
F30,18 Av
128,34 St-Penn Station
D24,Atlantic Av-Barclays Ctr
221,3 Av-149 St
M13,Lorimer St
113,157 St
G19,Steinway St
H10,Beach 25 St
S29,Stapleton
412,170 St
S09,Tottenville
250,Crown Hts-Utica Av
609,St Lawrence Av
M20,Canal St
133,Christopher St-Stonewall
S04,Botanic Garden
D05,Fordham Rd
J27,Broadway Junction
S23,Grant City
B20,20 Av
F24,7 Av
F36,Avenue U
A18,103 St
H03,Howard Beach-JFK Airport
M04,Fresh Pond Rd
142,South Ferry
R09,Queensboro Plaza
L21,Bushwick Av-Aberdeen St
628,68 St-Hunter College
G05,Jamaica Center-Parsons/Archer
711,69 St
B08,Lexington Av/63 St
623,110 St
116,125 St
L27,New Lots Av
109,Dyckman St
D16,42 St-Bryant Pk
R05,Broadway
G14,Jackson Hts-Roosevelt Av
224,135 St
218,Intervale Av
F25,15 St-Prospect Park
J13,111 St
D20,W 4 St-Wash Sq
R42,Bay Ridge Av
Q04,86 St
S16,Huguenot
213,E 180 St
A27,42 St-Port Authority Bus Terminal
616,E 143 St-St Mary's St
F02,169 St
H11,Far Rockaway-Mott Av
S19,Great Kills
M09,Knickerbocker Av
239,Franklin Av-Medgar Evers College
L13,Montrose Av
243,Winthrop St
714,46 St-Bliss St
A64,111 St
A07,175 St
D33,Avenue J
B17,71 St
104,231 St
Q01,Canal St
G24,21 St
D13,145 St
420,Bowling Green
J31,Kosciuszko St
137,Chambers St
638,Spring St
G10,63 Dr-Rego Park
120,96 St
D35,Kings Hwy
B21,Bay Pkwy
H04,Broad Channel
A44,Clinton-Washington Avs
A49,Ralph Av
228,Park Place
227,Central Park North (110 St)
R22,Prince St
612,Whitlock Av
719,Court Sq
L17,Myrtle-Wyckoff Avs
235,Atlantic Av-Barclays Ctr
901,Grand Central-42 St
247,Flatbush Av-Brooklyn College
R36,36 St
233,Hoyt St
A17,Cathedral Pkwy (110 St)
R17,34 St-Herald Sq
N04,New Utrecht Av
A42,Hoyt-Schermerhorn Sts
411,Mt Eden Av
124,66 St-Lincoln Center
505,Morris Park
A05,190 St
D28,Church Av
F35,Kings Hwy
721,Vernon Blvd-Jackson Av
D22,Grand St
706,103 St-Corona Plaza
M14,Hewes St
604,Westchester Sq-E Tremont Av
J21,Norwood Av
S24,Jefferson Av
H15,Rockaway Park-Beach 116 St
S11,Arthur Kill
D10,167 St
M21,Chambers St
610,Morrison Av-Soundview
129,28 St
D25,7 Av
114,145 St
R31,Atlantic Av-Barclays Ctr
F05,Briarwood
A21,81 St-Museum of Natural History
256,Van Siclen Av
415,149 St-Grand Concourse
A53,Van Siclen Av
D41,Ocean Pkwy
L01,8 Av
630,51 St
E01,World Trade Center
S03,Park Pl
205,233 St
R28,Court St
R14,57 St-7 Av
N07,Bay Pkwy
G34,Classon Av
L08,Bedford Av
B12,9 Av
401,Woodlawn
F18,York St
F31,Avenue I
220,Jackson Av
H09,Beach 36 St
S28,Clifton
G20,36 St
408,183 St
251,Sutter Av-Rutland Rd
J15,Woodhaven Blvd
D06,182-183 Sts
G31,Flushing Av
A14,135 St
110,191 St
701,Flushing-Main St
125,59 St-Columbus Circle
219,Prospect Av
639,Canal St
R43,77 St
A33,Spring St
G09,67 Av
A09,168 St
R35,25 St
D37,Avenue U
634,23 St
A59,80 St
A50,Rockaway Av
R24,City Hall
209,Burke Av
G21,Queens Plaza
615,E 149 St
115,137 St-City College
D01,Norwood-205 St
136,Franklin St
M01,Middle Village-Metropolitan Av
F23,4 Av-9 St
S20,Bay Terrace
F26,Fort Hamilton Pkwy
R06,36 Av
103,238 St
L16,DeKalb Av
L28,East 105 St
238,Eastern Pkwy-Brooklyn Museum
G15,65 St
246,Newkirk Av-Little Haiti
J12,121 St
A65,Ozone Park-Lefferts Blvd
302,145 St
Q03,72 St
629,59 St
J30,Gates Av
G26,Greenpoint Av
423,Borough Hall
624,103 St
720,Hunters Point Av
229,Fulton St
214,West Farms Sq-E Tremont Av
715,40 St-Lowery St
L22,Broadway Junction
D32,Avenue H
R21,8 St-NYU
A28,34 St-Penn Station
H12,Beach 90 St
B22,25 Av
B16,62 St
A45,Franklin Av
D14,7 Av
501,Eastchester-Dyre Av
611,Elder Av
J24,Alabama Av
M08,Myrtle-Wyckoff Avs
F01,Jamaica-179 St
D17,34 St-Herald Sq
132,14 St
234,Nevins St
L12,Grand St
902,Times Sq-42 St
242,Sterling St
J16,85 St-Forest Pkwy
119,103 St
D07,Tremont Av
S15,Prince's Bay
B06,Roosevelt Island
710,74 St-Broadway
606,Zerega Av
F14,2 Av
M16,Marcy Av
